Timestamp (UTC),trval,tqP,tq1P,tq2P
17:52:20.071,-4.79,-0.05,0.19,-0.28
17:52:20.169,-3.14,-0.05,0.19,-0.28
17:52:20.267,4.93,-0.07,0.15,-0.29
17:52:20.365,3.14,-0.07,0.10,-0.24
17:52:20.468,-4.86,-0.07,0.14,-0.27
17:52:20.566,-1.93,-0.04,0.15,-0.24
17:52:20.664,-0.57,-0.05,0.15,-0.24
17:52:20.763,-0.71,-0.11,0.08,-0.31
17:52:20.861,0.36,-0.10,0.10,-0.29
17:52:20.960,0.14,-0.09,0.12,-0.30
17:52:21.062,2.14,-0.11,0.07,-0.28
17:52:21.160,2.29,-0.11,0.07,-0.28
17:52:21.259,0.93,-0.09,0.11,-0.29
17:52:21.357,-0.14,-0.08,0.13,-0.28
17:52:21.456,0.14,-0.09,0.13,-0.30
17:52:21.554,-1.36,-0.06,0.17,-0.29
17:52:21.652,-0.57,-0.05,0.20,-0.29
17:52:21.754,-0.93,-0.07,0.15,-0.28
17:52:21.852,-0.71,-0.07,0.13,-0.28
17:52:21.950,-0.07,-0.10,0.09,-0.29
17:52:22.049,2.86,-0.08,0.13,-0.29
17:52:22.147,1.14,-0.08,0.14,-0.30
17:52:22.245,0.36,-0.07,0.15,-0.28
17:52:22.344,0.86,-0.09,0.10,-0.29
17:52:22.446,0.43,-0.12,0.06,-0.30
17:52:22.544,2.36,-0.13,0.04,-0.29
17:52:22.643,2.29,-0.15,0.02,-0.31
17:52:22.741,0.50,-0.10,0.08,-0.29
17:52:22.840,-0.14,-0.06,0.16,-0.27
17:52:22.938,-2.36,-0.07,0.16,-0.30
17:52:23.036,-2.79,-0.07,0.18,-0.31
17:52:23.138,-2.21,-0.07,0.14,-0.28
17:52:23.237,0.07,-0.06,0.17,-0.28
17:52:23.334,-2.21,-0.06,0.19,-0.32
17:52:23.434,-1.64,-0.08,0.16,-0.31
17:52:23.532,-2.00,-0.07,0.12,-0.27
17:52:23.630,-0.14,-0.10,0.07,-0.26
17:52:23.732,2.57,-0.11,0.04,-0.27
17:52:23.830,0.79,-0.07,0.11,-0.26
17:52:23.929,-3.21,-0.07,0.12,-0.27
17:52:24.027,-2.29,-0.05,0.14,-0.23
17:52:24.126,4.07,-0.04,0.17,-0.24
17:52:24.224,3.21,-0.07,0.14,-0.27
17:52:24.322,3.29,-0.08,0.12,-0.28
17:52:24.425,0.86,-0.06,0.12,-0.24
17:52:24.522,-1.43,-0.06,0.10,-0.22
17:52:24.621,-0.86,-0.05,0.11,-0.22
17:52:24.719,-0.29,-0.05,0.15,-0.24
17:52:24.817,2.29,-0.05,0.17,-0.27
17:52:24.917,2.79,-0.07,0.15,-0.29
17:52:25.014,3.14,-0.06,0.18,-0.29
17:52:25.116,3.86,-0.04,0.16,-0.24
17:52:25.214,-2.29,-0.03,0.17,-0.24
17:52:25.313,-1.07,-0.04,0.16,-0.24
17:52:25.412,2.93,-0.06,0.12,-0.24
17:52:25.510,3.79,-0.09,0.03,-0.22
17:52:25.608,8.00,-0.13,-0.04,-0.22
17:52:25.706,4.29,-0.11,0.01,-0.23
17:52:25.808,1.71,-0.04,0.14,-0.23
17:52:25.907,-1.71,-0.06,0.11,-0.23
17:52:26.006,-2.00,-0.08,0.10,-0.26
17:52:26.104,1.86,-0.07,0.11,-0.26
17:52:26.202,-0.93,-0.03,0.17,-0.24
17:52:26.301,-0.93,-0.07,0.14,-0.28
17:52:26.398,4.07,-0.07,0.12,-0.27
17:52:26.500,1.14,-0.04,0.16,-0.24
17:52:26.599,-0.21,-0.02,0.16,-0.21
17:52:26.697,-2.64,-0.06,0.15,-0.28
17:52:26.796,-1.64,-0.06,0.14,-0.27
17:52:26.896,1.07,-0.07,0.11,-0.25
17:52:26.993,-1.00,-0.07,0.14,-0.27
17:52:27.095,-1.14,-0.05,0.16,-0.27
17:52:27.193,0.50,-0.04,0.15,-0.23
17:52:27.292,-1.71,-0.04,0.15,-0.24
17:52:27.390,-2.14,-0.05,0.16,-0.26
17:52:27.489,-0.86,-0.03,0.21,-0.26
17:52:27.587,-4.07,-0.02,0.18,-0.22
17:52:27.685,-4.93,-0.03,0.16,-0.22
17:52:27.787,0.57,-0.06,0.15,-0.26
17:52:27.886,2.21,-0.06,0.12,-0.24
17:52:27.984,0.93,-0.03,0.15,-0.21
17:52:28.082,-1.71,-0.06,0.14,-0.26
17:52:28.180,-2.29,-0.04,0.15,-0.22
17:52:28.279,2.50,-0.03,0.17,-0.23
17:52:28.377,0.64,-0.06,0.13,-0.25
17:52:28.479,-4.79,-0.05,0.12,-0.21
17:52:28.578,-3.36,-0.05,0.12,-0.23
17:52:28.676,-2.14,-0.04,0.15,-0.23
17:52:28.774,-2.86,-0.02,0.21,-0.25
17:52:28.873,-4.64,-0.03,0.18,-0.24
17:52:28.971,-1.71,-0.04,0.12,-0.20
17:52:29.068,0.71,-0.04,0.14,-0.22
17:52:29.171,2.86,-0.04,0.15,-0.23
17:52:29.269,0.57,-0.05,0.13,-0.22
17:52:29.368,0.86,-0.06,0.10,-0.22
17:52:29.467,-0.64,-0.06,0.14,-0.27
17:52:29.564,-1.86,-0.05,0.20,-0.30
17:52:29.662,-0.36,-0.06,0.14,-0.27
17:52:29.761,-0.07,-0.13,0.01,-0.28
17:52:29.864,0.64,-0.08,0.09,-0.25
17:52:29.961,1.79,-0.05,0.16,-0.26
17:52:30.060,2.36,-0.07,0.12,-0.26
17:52:30.159,-2.50,-0.10,0.08,-0.28
17:52:30.257,-0.79,-0.06,0.14,-0.26
17:52:30.356,4.14,-0.07,0.13,-0.28
17:52:30.457,4.00,-0.07,0.10,-0.24
17:52:30.556,0.86,-0.05,0.11,-0.22
17:52:30.653,1.71,-0.06,0.13,-0.25
17:52:30.752,2.07,-0.06,0.13,-0.25
17:52:30.851,-0.86,-0.05,0.15,-0.24
17:52:30.950,-1.57,-0.08,0.10,-0.26
17:52:31.047,-1.50,-0.07,0.11,-0.25
17:52:31.150,2.21,-0.08,0.08,-0.24
17:52:31.248,1.50,-0.06,0.15,-0.26
17:52:31.347,1.21,-0.04,0.17,-0.26
17:52:31.444,-0.71,-0.06,0.15,-0.26
17:52:31.542,-1.36,-0.09,0.12,-0.29
17:52:31.641,-4.14,-0.06,0.13,-0.26
17:52:31.739,1.71,-0.08,0.11,-0.26
17:52:31.842,0.86,-0.07,0.09,-0.24
17:52:31.940,-1.29,-0.05,0.15,-0.25
17:52:32.039,-3.64,-0.03,0.17,-0.23
17:52:32.137,-3.71,0.00,0.22,-0.22
17:52:32.235,-3.93,-0.02,0.18,-0.22
17:52:32.334,0.79,-0.07,0.10,-0.25
17:52:32.431,1.86,-0.05,0.13,-0.23
17:52:32.534,0.29,-0.04,0.16,-0.24
17:52:32.632,1.29,-0.07,0.11,-0.25
17:52:32.730,1.29,-0.04,0.14,-0.22
17:52:32.829,2.36,-0.02,0.16,-0.20
17:52:32.928,3.14,-0.03,0.16,-0.22
17:52:33.026,3.86,-0.04,0.15,-0.23
17:52:33.124,3.50,-0.05,0.13,-0.22
17:52:33.226,3.29,-0.02,0.18,-0.22
17:52:33.324,1.29,-0.03,0.11,-0.18
17:52:33.423,-0.29,-0.05,0.11,-0.20
17:52:33.522,0.57,-0.06,0.10,-0.23
17:52:33.620,2.00,-0.04,0.14,-0.22
17:52:33.718,0.14,-0.03,0.17,-0.24
17:52:33.816,-0.71,-0.04,0.12,-0.20
17:52:33.919,-0.86,-0.09,0.02,-0.21
17:52:34.016,-0.71,-0.06,0.06,-0.18
17:52:34.114,-3.00,-0.03,0.11,-0.18
17:52:34.213,-4.86,-0.09,0.01,-0.19
17:52:34.312,-1.36,-0.06,0.06,-0.18
17:52:34.410,-1.43,-0.04,0.08,-0.17
17:52:34.512,-3.86,-0.07,0.03,-0.17
17:52:34.611,-3.29,-0.06,0.05,-0.18
17:52:34.709,-1.50,-0.07,0.05,-0.20
17:52:34.807,-2.14,-0.06,0.06,-0.17
17:52:34.905,-0.86,-0.01,0.13,-0.14
17:52:35.004,-0.14,-0.01,0.12,-0.14
17:52:35.102,1.43,-0.02,0.08,-0.12
17:52:35.204,0.64,-0.03,0.07,-0.14
17:52:35.303,0.71,-0.03,0.10,-0.15
17:52:35.401,-2.00,0.00,0.15,-0.14
17:52:35.500,-4.43,-0.03,0.09,-0.15
17:52:35.598,-5.50,-0.03,0.10,-0.16
17:52:35.695,-4.50,-0.02,0.13,-0.17
17:52:35.794,-1.00,-0.02,0.11,-0.15
17:52:35.897,0.36,-0.03,0.06,-0.12
17:52:35.994,-0.36,-0.02,0.04,-0.08
17:52:36.094,0.64,-0.03,0.06,-0.12
17:52:36.192,1.14,-0.03,0.06,-0.11
17:52:36.290,3.86,0.00,0.07,-0.07
17:52:36.389,3.00,-0.01,0.11,-0.13
17:52:36.486,0.43,-0.02,0.13,-0.17
17:52:36.588,-1.79,-0.02,0.12,-0.15
17:52:36.687,-2.71,-0.03,0.09,-0.16
17:52:36.785,0.29,-0.04,0.08,-0.15
17:52:36.884,0.36,-0.02,0.06,-0.11
17:52:36.982,1.43,-0.04,0.05,-0.13
17:52:37.080,-1.43,-0.04,0.06,-0.13
17:52:37.182,-2.93,-0.05,0.04,-0.14
17:52:37.281,1.14,-0.02,0.03,-0.08
17:52:37.378,0.50,-0.02,0.02,-0.07
17:52:37.477,-6.14,-0.01,0.09,-0.10
17:52:37.575,-4.36,0.00,0.10,-0.10
17:52:37.675,-1.07,-0.05,0.02,-0.11
17:52:37.772,-2.00,-0.05,0.01,-0.12
17:52:37.874,-2.79,-0.01,0.07,-0.09
17:52:37.973,1.43,0.00,0.09,-0.08
17:52:38.071,1.14,0.02,0.10,-0.07
17:52:38.170,1.14,0.02,0.11,-0.06
17:52:38.268,-4.79,0.02,0.10,-0.06
17:52:38.367,-1.14,0.00,0.07,-0.07
17:52:38.465,-0.07,-0.02,0.04,-0.08
17:52:38.567,-1.36,-0.04,0.00,-0.08
17:52:38.665,2.07,-0.06,-0.01,-0.11
17:52:38.764,4.50,-0.05,0.00,-0.10
17:52:38.862,-0.43,-0.01,0.02,-0.05
17:52:38.961,-2.07,-0.01,0.04,-0.06
17:52:39.058,-2.00,0.01,0.09,-0.08
17:52:39.157,-0.29,0.03,0.15,-0.09
17:52:39.259,-0.71,0.00,0.07,-0.06
17:52:39.357,-2.14,-0.03,-0.01,-0.05
17:52:39.456,-5.71,-0.02,0.01,-0.05
17:52:39.554,-5.36,0.00,0.08,-0.07
17:52:39.652,-0.36,-0.00,0.07,-0.07
17:52:39.751,-0.07,-0.01,0.05,-0.07
17:52:39.853,3.43,-0.04,0.02,-0.10
17:52:39.951,3.43,-0.02,0.04,-0.07
17:52:40.050,1.00,-0.02,0.02,-0.07
17:52:40.147,-0.79,-0.05,-0.02,-0.08
17:52:40.246,-2.50,-0.04,-0.01,-0.06
17:52:40.345,-0.71,-0.02,0.05,-0.09
17:52:40.443,0.00,-0.02,0.05,-0.09
17:52:40.545,0.00,-0.05,-0.00,-0.09
17:52:40.643,-1.43,-0.01,0.07,-0.08
17:52:40.741,-5.43,0.01,0.11,-0.09
17:52:40.840,-1.14,-0.00,0.07,-0.08
17:52:40.938,-4.64,-0.02,0.03,-0.07
17:52:41.037,-1.14,-0.03,0.03,-0.08
17:52:41.135,-1.43,-0.04,0.01,-0.10
17:52:41.237,0.50,-0.04,0.00,-0.08
17:52:41.336,0.29,-0.02,0.02,-0.07
17:52:41.434,-6.07,-0.06,-0.03,-0.09
17:52:41.533,-6.07,-0.05,-0.01,-0.10
17:52:41.630,-1.00,-0.04,0.05,-0.13
17:52:41.729,2.50,-0.04,0.03,-0.10
17:52:41.831,-0.14,-0.05,-0.02,-0.09
17:52:41.930,-3.07,-0.06,-0.02,-0.09
17:52:42.028,-3.21,-0.04,0.01,-0.10
17:52:42.126,-3.00,-0.06,-0.02,-0.10
17:52:42.224,-1.57,-0.04,0.01,-0.10
17:52:42.323,0.57,-0.06,-0.01,-0.10
17:52:42.421,3.07,-0.07,-0.05,-0.09
17:52:42.523,-3.57,-0.05,-0.04,-0.06
17:52:42.621,-5.93,-0.05,-0.04,-0.06
17:52:42.720,-0.93,-0.08,-0.12,-0.04
17:52:42.819,2.86,-0.05,-0.04,-0.06
17:52:42.916,1.36,-0.02,0.02,-0.06
17:52:43.014,-2.57,-0.02,0.01,-0.05
17:52:43.113,-4.50,-0.05,-0.03,-0.07
17:52:43.215,0.36,-0.01,0.03,-0.06
17:52:43.314,-4.79,0.01,0.04,-0.02
17:52:43.412,-1.71,-0.03,-0.00,-0.06
17:52:43.511,-0.50,-0.05,-0.06,-0.04
17:52:43.609,0.00,-0.05,-0.02,-0.07
17:52:43.707,-1.64,-0.01,0.07,-0.09
17:52:43.806,-3.43,0.02,0.13,-0.08
17:52:43.908,-3.14,0.02,0.10,-0.07
17:52:44.006,1.43,-0.02,0.05,-0.09
17:52:44.104,2.21,-0.00,0.07,-0.08
17:52:44.203,0.71,-0.02,0.03,-0.06
17:52:44.302,-0.93,-0.06,-0.05,-0.07
17:52:44.399,-1.86,-0.05,-0.07,-0.03
17:52:44.498,2.79,-0.04,-0.04,-0.04
17:52:44.600,5.14,0.00,0.04,-0.04
17:52:44.698,1.14,0.01,0.08,-0.06
17:52:44.796,-5.14,0.00,0.07,-0.07
17:52:44.895,-0.57,-0.00,0.08,-0.08
17:52:44.993,2.57,0.01,0.08,-0.06
17:52:45.091,1.57,-0.02,0.03,-0.07
17:52:45.190,1.21,-0.02,0.01,-0.06
17:52:45.292,-2.07,0.02,0.11,-0.06
17:52:45.390,0.86,-0.00,0.06,-0.07
17:52:45.489,5.64,-0.03,0.04,-0.11
17:52:45.588,2.14,0.03,0.12,-0.06
17:52:45.686,-2.07,-0.01,0.05,-0.07
17:52:45.784,1.79,-0.00,0.05,-0.06
17:52:45.886,0.86,0.01,0.05,-0.04
17:52:45.984,0.00,-0.04,-0.01,-0.06
17:52:46.083,0.07,-0.05,-0.03,-0.06
17:52:46.181,1.93,0.01,0.07,-0.04
17:52:46.279,-0.07,0.01,0.05,-0.04
17:52:46.378,0.21,-0.01,0.00,-0.01
17:52:46.475,-0.71,0.00,0.02,-0.02
17:52:46.578,1.50,0.01,0.03,-0.00
17:52:46.677,1.93,0.01,0.05,-0.02
17:52:46.775,-0.43,-0.00,0.03,-0.03
17:52:46.873,-3.50,-0.05,-0.08,-0.01
17:52:46.971,-3.93,-0.01,-0.03,0.01
17:52:47.071,-0.29,0.07,0.13,-0.00
17:52:47.168,-0.79,0.05,0.13,-0.02
17:52:47.271,-3.43,0.03,0.04,0.01
17:52:47.369,1.07,0.00,0.03,-0.02
17:52:47.466,-2.93,0.02,0.04,-0.00
17:52:47.565,-3.29,0.03,0.03,0.04
17:52:47.663,2.43,0.02,0.01,0.02
17:52:47.762,4.79,0.02,0.04,0.00
17:52:47.860,0.00,0.05,0.07,0.03
17:52:47.963,3.57,0.07,0.08,0.05
17:52:48.061,1.36,0.08,0.14,0.03
17:52:48.159,-3.43,0.08,0.15,0.01
17:52:48.257,-2.86,0.07,0.10,0.04
17:52:48.355,1.64,0.04,0.04,0.05
17:52:48.454,0.36,0.02,-0.02,0.05
17:52:48.552,0.14,0.03,0.03,0.04
17:52:48.654,0.86,0.03,0.02,0.04
17:52:48.753,-2.21,0.05,0.04,0.06
