Timestamp (UTC),trval,tqP,tq1P,tq2P
18:35:56.317,1501.36,-2.07,-4.11,-0.02
18:35:56.416,1496.36,-2.09,-4.18,-0.00
18:35:56.514,1496.43,-2.09,-4.19,0.01
18:35:56.613,1493.36,-2.14,-4.28,0.00
18:35:56.714,1492.07,-2.20,-4.39,0.00
18:35:56.813,1489.86,-2.32,-4.61,-0.03
18:35:56.911,1484.43,-2.61,-5.27,0.05
18:35:57.009,1475.14,-0.25,-3.23,2.72
18:35:57.108,1459.71,2.78,-1.21,6.76
18:35:57.207,1448.50,2.01,-1.03,5.05
18:35:57.309,1445.71,1.70,-1.00,4.40
18:35:57.407,1447.57,1.64,-0.98,4.26
18:35:57.505,1443.50,1.82,-0.97,4.61
18:35:57.604,1443.93,1.88,-1.04,4.80
18:35:57.702,1443.07,1.90,-0.99,4.78
18:35:57.800,1441.50,1.94,-0.98,4.87
18:35:57.899,1442.29,1.93,-1.18,5.04
18:35:58.001,1442.93,1.88,-1.19,4.94
18:35:58.099,1444.36,1.25,-1.08,3.58
18:35:58.198,1452.86,0.98,-1.17,3.13
18:35:58.296,1447.29,0.81,-1.16,2.77
18:35:58.394,1449.64,0.64,-1.08,2.36
18:35:58.492,1452.79,0.42,-1.08,1.93
18:35:58.591,1452.50,0.25,-1.05,1.55
18:35:58.693,1450.29,0.15,-1.08,1.37
18:35:58.791,1449.57,-0.13,-1.16,0.90
18:35:58.890,1447.07,-0.18,-1.30,0.93
18:35:58.988,1447.50,0.01,-1.28,1.29
18:35:59.086,1450.21,0.11,-1.11,1.33
18:35:59.185,1449.14,0.09,-1.03,1.20
18:35:59.286,1447.07,0.08,-1.11,1.27
18:35:59.385,1443.07,0.10,-1.15,1.36
18:35:59.484,1439.93,0.25,-1.17,1.68
18:35:59.582,1440.00,0.24,-1.23,1.70
18:35:59.681,1439.79,0.39,-1.20,1.97
18:35:59.779,1435.29,0.57,-1.19,2.32
18:35:59.877,1435.21,0.56,-1.31,2.44
18:35:59.978,1439.93,0.12,-1.37,1.61
18:36:00.078,1440.14,0.32,-1.05,1.69
18:36:00.176,1435.21,0.41,-0.99,1.81
18:36:00.274,1426.07,0.44,-0.99,1.87
18:36:00.372,1419.29,0.51,-1.07,2.09
18:36:00.470,1415.43,0.59,-1.05,2.23
18:36:00.569,1417.00,0.61,-1.00,2.21
18:36:00.672,1417.57,0.52,-1.00,2.05
18:36:00.770,1419.71,0.45,-1.05,1.95
18:36:00.868,1418.29,0.43,-1.16,2.03
18:36:00.966,1415.86,0.17,-1.32,1.66
18:36:01.065,1418.93,0.54,-1.14,2.21
18:36:01.162,1423.21,0.61,-1.13,2.35
18:36:01.261,1428.71,0.45,-1.18,2.08
18:36:01.364,1423.00,0.26,-1.25,1.77
18:36:01.461,1410.43,0.27,-1.17,1.71
18:36:01.560,1406.14,0.34,-1.12,1.80
18:36:01.658,1403.71,0.29,-1.14,1.73
18:36:01.757,1410.86,0.27,-1.16,1.71
18:36:01.856,1393.36,0.44,-1.21,2.08
18:36:01.958,1392.93,0.60,-1.34,2.54
18:36:02.055,1390.57,1.38,-1.15,3.91
18:36:02.154,1390.50,1.51,-1.02,4.05
18:36:02.253,1386.93,0.79,-1.01,2.59
18:36:02.351,1385.43,1.04,-1.03,3.11
18:36:02.449,1394.86,1.08,-1.03,3.19
18:36:02.547,1390.57,1.20,-1.11,3.52
18:36:02.650,1383.29,1.35,-1.09,3.79
18:36:02.747,1386.07,1.30,-1.03,3.62
18:36:02.846,1389.14,1.15,-1.04,3.35
18:36:02.945,1388.29,0.81,-1.88,3.51
18:36:03.043,1384.86,0.72,-1.87,3.32
18:36:03.141,1368.00,0.13,-1.15,1.42
18:36:03.243,1364.57,-0.46,-1.09,0.17
18:36:03.341,1362.50,-0.47,-1.08,0.14
18:36:03.440,1364.50,-0.44,-1.03,0.14
18:36:03.538,1372.57,-0.43,-1.03,0.18
18:36:03.637,1370.14,-0.44,-1.04,0.16
18:36:03.735,1368.21,-0.45,-1.05,0.14
18:36:03.834,1368.43,-0.47,-1.09,0.15
18:36:03.936,1367.50,-0.47,-1.08,0.15
18:36:04.033,1367.79,-0.45,-1.05,0.16
18:36:04.131,1366.57,-0.45,-1.07,0.18
18:36:04.231,1365.36,-0.43,-1.03,0.18
18:36:04.329,1360.79,-0.42,-1.04,0.20
18:36:04.427,1361.43,-0.44,-1.06,0.19
18:36:04.525,1364.79,-0.48,-1.13,0.18
18:36:04.628,1363.00,-0.50,-1.15,0.15
18:36:04.725,1359.00,-0.48,-1.11,0.15
18:36:04.824,1356.07,-0.43,-1.06,0.21
18:36:04.923,1357.57,-0.41,-0.99,0.18
18:36:05.021,1354.43,-0.43,-1.03,0.18
18:36:05.119,1352.07,-0.42,-1.01,0.18
18:36:05.217,1350.36,-0.40,-1.00,0.20
18:36:05.321,1350.79,-0.41,-1.06,0.24
18:36:05.417,1347.71,-0.42,-1.08,0.25
18:36:05.516,1346.14,-0.44,-1.08,0.20
18:36:05.615,1347.00,-0.44,-1.09,0.21
18:36:05.713,1348.21,-0.42,-1.07,0.22
18:36:05.811,1341.36,-0.41,-1.03,0.21
18:36:05.914,1333.21,-0.38,-1.00,0.23
18:36:06.012,1331.07,-0.43,-1.07,0.22
18:36:06.110,1323.07,-0.39,-0.98,0.21
18:36:06.209,1321.07,-0.41,-1.01,0.20
18:36:06.307,1331.00,-0.46,-1.09,0.17
18:36:06.406,1339.00,-0.44,-1.06,0.18
18:36:06.503,1334.36,-0.45,-1.06,0.16
18:36:06.606,1325.50,-0.44,-1.02,0.14
18:36:06.704,1321.57,-0.44,-1.05,0.18
18:36:06.803,1320.57,-0.38,-1.01,0.24
18:36:06.901,1314.64,-0.34,-0.91,0.22
18:36:07.000,1306.43,-0.40,-0.99,0.18
18:36:07.098,1302.14,-0.47,-1.12,0.19
18:36:07.196,1299.93,-0.48,-1.18,0.21
18:36:07.298,1294.86,-0.43,-1.11,0.24
18:36:07.396,1286.71,-0.44,-1.10,0.22
18:36:07.494,1281.86,-0.42,-1.04,0.19
18:36:07.594,1282.29,-0.39,-0.99,0.20
18:36:07.692,1283.21,-0.36,-0.93,0.21
18:36:07.790,1278.71,-0.33,-0.89,0.22
18:36:07.892,1272.57,-0.38,-0.97,0.20
18:36:07.991,1263.71,-0.42,-1.05,0.21
18:36:08.089,1257.57,-0.41,-1.05,0.22
18:36:08.187,1258.79,-0.42,-1.06,0.22
18:36:08.285,1259.14,-0.40,-0.99,0.19
18:36:08.384,1259.43,-0.42,-1.04,0.20
18:36:08.482,1251.00,-0.44,-1.08,0.21
18:36:08.584,1244.79,-0.39,-1.03,0.25
18:36:08.683,1249.50,-0.38,-0.97,0.20
18:36:08.781,1250.93,-0.40,-0.99,0.18
18:36:08.879,1252.86,-0.40,-0.99,0.20
18:36:08.977,1249.36,-0.41,-1.02,0.20
18:36:09.076,1253.07,-0.43,-1.06,0.20
18:36:09.175,1249.57,-0.43,-1.06,0.20
18:36:09.276,1244.21,-0.44,-1.06,0.18
18:36:09.375,1238.07,-0.46,-1.09,0.17
18:36:09.473,1231.00,-0.38,-0.97,0.21
18:36:09.572,1226.07,-0.41,-1.03,0.21
18:36:09.670,1211.29,-0.43,-1.07,0.20
